,date,away,home,winner,home_runs,away_runs,total,home_wins,home_losses,home_win_perc,away_wins,away_losses,away_win_perc,home_cli,away_cli,game
47,2015-04-10,NYM,ATL,ATL,5.0,3.0,8.0,3.0,0.0,1.0,2.0,1.0,0.6666666666666666,1.24,1.16,1
46,2015-04-10,SEA,OAK,OAK,12.0,0.0,12.0,2.0,2.0,0.5,1.0,2.0,0.3333333333333333,1.07,1.01,1
52,2015-04-10,DET,CLE,DET,4.0,8.0,12.0,2.0,1.0,0.6666666666666666,3.0,0.0,1.0,1.17,1.24,1
70,2015-04-11,HOU,TEX,TEX,6.0,2.0,8.0,2.0,3.0,0.4,2.0,2.0,0.5,1.04,1.07,1
75,2015-04-11,STL,CIN,STL,1.0,4.0,5.0,4.0,0.0,1.0,1.0,2.0,0.3333333333333333,1.24,1.12,1
74,2015-04-11,WSH,PHI,PHI,3.0,2.0,5.0,2.0,2.0,0.5,1.0,3.0,0.25,1.02,0.91,1
73,2015-04-11,TB,MIA,TB,0.0,2.0,2.0,1.0,3.0,0.25,1.0,3.0,0.25,0.84,0.82,1
72,2015-04-11,BOS,NYY,BOS,4.0,8.0,12.0,1.0,3.0,0.25,3.0,1.0,0.75,0.93,1.13,1
71,2015-04-11,KC,LAA,KC,4.0,6.0,10.0,2.0,2.0,0.5,4.0,0.0,1.0,0.96,1.1,1
69,2015-04-11,PIT,MIL,MIL,6.0,0.0,6.0,0.0,4.0,0.0,1.0,3.0,0.25,0.83,0.97,1
62,2015-04-11,DET,CLE,DET,6.0,9.0,15.0,2.0,2.0,0.5,4.0,0.0,1.0,1.11,1.29,1
67,2015-04-11,NYM,ATL,ATL,5.0,3.0,8.0,4.0,0.0,1.0,2.0,2.0,0.5,1.26,1.16,1
66,2015-04-11,TOR,BAL,BAL,7.0,1.0,8.0,2.0,2.0,0.5,3.0,1.0,0.75,1.09,1.22,1
65,2015-04-11,LAD,ARI,ARI,6.0,0.0,6.0,2.0,2.0,0.5,2.0,2.0,0.5,1.02,1.01,1
64,2015-04-11,SF,SD,SD,10.0,2.0,12.0,2.0,3.0,0.4,3.0,2.0,0.6,1.01,1.1,1
63,2015-04-11,SEA,OAK,SEA,4.0,5.0,9.0,3.0,2.0,0.6,1.0,3.0,0.25,1.12,1.02,1
61,2015-04-11,CHC,COL,CHC,5.0,9.0,14.0,4.0,0.0,1.0,1.0,2.0,0.3333333333333333,1.13,0.95,1
68,2015-04-11,MIN,CHW,CHW,5.0,4.0,9.0,0.0,4.0,0.0,1.0,3.0,0.25,0.82,0.91,1
85,2015-04-12,DET,CLE,DET,5.0,8.0,13.0,2.0,3.0,0.4,5.0,0.0,1.0,0.98,1.23,1
90,2015-04-12,TOR,BAL,TOR,7.0,10.0,17.0,3.0,2.0,0.6,3.0,2.0,0.6,1.11,1.13,1
89,2015-04-12,PIT,MIL,PIT,2.0,10.0,12.0,1.0,4.0,0.2,1.0,4.0,0.2,0.89,0.9,1
88,2015-04-12,NYM,ATL,NYM,3.0,4.0,7.0,5.0,0.0,1.0,2.0,3.0,0.4,1.29,1.08,1
87,2015-04-12,WSH,PHI,WSH,3.0,4.0,7.0,3.0,2.0,0.6,1.0,4.0,0.2,1.05,0.91,1
